"lat","lon","stability","yr.end","yr.start"
47.5,-97.5,7677.43081900774,2005,1286
47.5,-95,7558.68996748777,2005,1286
47.5,-92.5,4662.37780811358,2005,1286
47.5,-90,3823.84769457284,2006,1286
47.5,-87.5,3087.82787868912,2006,1385
47.5,-85,3519.035627227,2006,1385
47.5,-82.5,2038.05119125838,2006,1385
47.5,-80,5697.43041343837,2005,950
47.5,-77.5,9183.73395853019,2005,950
47.5,-75,7693.67578431515,2005,950
47.5,-72.5,7163.08747446256,2005,1186
47.5,-70,5316.53231370907,2005,1404
47.5,-67.5,4009.82163726989,2005,1404
47.5,-65,3322.67798169882,2005,1404
47.5,-62.5,2733.44916267602,2005,1404
45,-97.5,15150.6076952558,2006,920
45,-95,12998.3808450714,2006,920
45,-92.5,11252.1255357509,2006,920
45,-90,12574.3994333024,2006,920
45,-87.5,9861.05127875573,2006,750
45,-85,7925.21595646754,2006,750
45,-82.5,5225.50111324355,2006,750
45,-80,4796.00913918812,2006,750
45,-77.5,6050.20756559318,2006,750
45,-75,7618.86851093305,2006,750
45,-72.5,5315.15754951634,2006,1135
45,-70,6758.5923066278,2006,1135
45,-67.5,7165.62188833786,2005,1404
45,-65,3412.18769918138,2005,1404
45,-62.5,4497.52156189943,2005,1404
42.5,-97.5,15511.0703519088,2006,920
42.5,-95,15502.6077321067,2006,920
42.5,-92.5,14105.774646894,2006,920
42.5,-90,13167.1095214726,2006,920
42.5,-87.5,10469.2359822596,2006,750
42.5,-85,12940.0822007846,2006,490
42.5,-82.5,11195.0040613052,2006,490
42.5,-80,17647.4123679045,2006,490
42.5,-77.5,9313.57411381028,2006,490
42.5,-75,6970.50094224773,2006,490
42.5,-72.5,12232.5898411877,2006,490
42.5,-70,7370.38311764224,2006,1135
40,-97.5,20907.6943782517,2006,920
40,-95,18007.3920544724,2006,920
40,-92.5,12953.7243529029,2006,920
40,-90,14187.2094911002,2006,920
40,-87.5,11276.6145357941,2006,750
40,-85,13780.4784290198,2006,490
40,-82.5,13877.7240112085,2006,365
40,-80,13172.073588431,2006,365
40,-77.5,12943.0420694238,2006,365
40,-75,12237.1391472195,2006,365
37.5,-97.5,21062.7006244351,2006,920
37.5,-95,13303.9361994744,2006,920
37.5,-92.5,10548.3962517425,2006,920
37.5,-90,10866.007992181,2006,920
37.5,-87.5,8650.70743120673,2006,920
37.5,-85,14559.312518334,2006,365
37.5,-82.5,13191.1168698903,2006,365
37.5,-80,11748.8895817886,2006,365
37.5,-77.5,13273.4952319981,2006,365
37.5,-75,10962.4574463167,2006,365
