"lon","lat","latlon","umw","x","y","domain.paleon","pc.all1","pc.all2","pc.setveg1","pc.setveg2","pc.setveg.mod1","pc.setveg.mod2","pc.umw1","pc.umw2","pc.umw.mod1","pc.umw.mod2"
-99.75,35.25,"lat35.25lon-99.75","n",-0.5096700816,0.0132053799,NA,-2.37107979909513,-2.91511852886524,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,35.75,"lat35.75lon-99.75",NA,NA,NA,NA,-2.45687422007524,-2.92827957014216,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,36.25,"lat36.25lon-99.75",NA,NA,NA,NA,-2.26167543682602,-2.66292399174087,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,36.75,"lat36.75lon-99.75","n",-0.4760938985,0.174453987,NA,-2.48512150924326,-3.26349785566522,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,37.25,"lat37.25lon-99.75",NA,NA,NA,NA,-2.08452558570447,-3.03208084097259,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,37.75,"lat37.75lon-99.75","n",-0.4536420409,0.2822783562,NA,-1.64879766909767,-3.13030375870409,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,38.25,"lat38.25lon-99.75","n",-0.442397487,0.3362799873,NA,-1.4760466010133,-2.8669683854413,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,38.75,"lat38.75lon-99.75",NA,NA,NA,NA,-1.42175187924916,-2.52887566255003,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,39.25,"lat39.25lon-99.75",NA,NA,NA,NA,-0.883110020553536,-2.30986491789026,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,39.75,"lat39.75lon-99.75","n",-0.4085964467,0.4986084643,NA,-0.895087838941368,-1.76934094732479,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,40.25,"lat40.25lon-99.75","n",-0.3973090311,0.5528159377,NA,-0.581564380215192,-1.52539059952714,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,40.75,"lat40.75lon-99.75",NA,NA,NA,NA,-0.160850059690059,-1.58908530748185,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,41.25,"lat41.25lon-99.75","n",-0.3747074516,0.6613593416,NA,-0.122916123571781,-1.61099456067931,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,41.75,"lat41.75lon-99.75",NA,NA,NA,NA,0.0112372271531287,-1.87844637407402,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,42.25,"lat42.25lon-99.75",NA,NA,NA,NA,0.377603990377632,-2.12148625103174,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,42.75,"lat42.75lon-99.75","n",-0.3407483781,0.8244467682,NA,0.378871338093004,-2.46584606712203,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,43.25,"lat43.25lon-99.75",NA,NA,NA,NA,-0.918885861485661,-3.10113281105011,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,43.75,"lat43.75lon-99.75",NA,NA,NA,NA,-0.657387697767579,-2.96688298862027,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,44.25,"lat44.25lon-99.75","n",-0.3067384518,0.9877784142,NA,-0.41564232395085,-2.90826154661929,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,44.75,"lat44.75lon-99.75",NA,NA,NA,NA,-0.163011958050615,-2.93852717035287,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,45.25,"lat45.25lon-99.75","n",-0.2840470913,1.0967529888,NA,0.0288000614216035,-3.1220411329231,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,45.75,"lat45.75lon-99.75","n",-0.2726984156,1.1512546618,NA,0.0131155946533183,-3.27185968937332,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,46.25,"lat46.25lon-99.75",NA,NA,NA,NA,0.130278413268268,-3.42028542544667,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,46.75,"lat46.75lon-99.75",NA,NA,NA,NA,0.372418611498921,-3.21493529813254,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,47.25,"lat47.25lon-99.75","n",-0.2386507241,1.3147676735,NA,0.546719759826528,-3.19217288905126,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,47.75,"lat47.75lon-99.75","n",-0.2273039475,1.3692602262,NA,0.775594340563672,-2.94227141128559,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,48.25,"lat48.25lon-99.75",NA,NA,NA,NA,0.808794279560387,-2.59660434007941,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,48.75,"lat48.75lon-99.75","n",-0.2046197671,1.4782003186,NA,0.627341353325574,-2.79044821271946,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,49.25,"lat49.25lon-99.75",NA,NA,NA,NA,0.672251685427645,-3.11094519024495,NA,NA,NA,NA,NA,NA,NA,NA
-99.75,49.75,"lat49.75lon-99.75",NA,NA,NA,NA,1.74194435879437,-2.87101891328625,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,35.25,"lat35.25lon-99.25",NA,NA,NA,NA,-2.46959203824562,-3.00232806999756,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,35.75,"lat35.75lon-99.25",NA,NA,NA,NA,-2.66182340450995,-3.32637722567957,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,36.25,"lat36.25lon-99.25",NA,NA,NA,NA,-2.14892092113772,-2.62709490664676,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,36.75,"lat36.75lon-99.25",NA,NA,NA,NA,-2.52152283192038,-2.61529601779108,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,37.25,"lat37.25lon-99.25",NA,NA,NA,NA,-1.97120597759358,-2.48046856336298,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,37.75,"lat37.75lon-99.25",NA,NA,NA,NA,-1.920037251867,-2.41130336700723,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,38.25,"lat38.25lon-99.25",NA,NA,NA,NA,-1.54905988330006,-2.32854211408993,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,38.75,"lat38.75lon-99.25",NA,NA,NA,NA,-1.46672156426787,-2.22266869998086,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,39.25,"lat39.25lon-99.25",NA,NA,NA,NA,-1.68478578141155,-2.22294927636489,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,39.75,"lat39.75lon-99.25",NA,NA,NA,NA,-0.948089942230581,-1.4785609979814,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,40.25,"lat40.25lon-99.25",NA,NA,NA,NA,-0.616278947499794,-1.50684072744482,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,40.75,"lat40.75lon-99.25",NA,NA,NA,NA,-0.502199042293887,-1.60996690319324,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,41.25,"lat41.25lon-99.25",NA,NA,NA,NA,-0.138239628713984,-1.59538272012974,NA,NA,NA,NA,NA,NA,NA,NA
