"lon","lat","latlon","umw","x","y","stab.pdsi.ann","stab.pdsi.ann.cent","stab.tair.ann","stab.tair.ann.cent","stab.tair.jja","stab.tair.jja.cent","stab.precip.ann","stab.precip.ann.cent","stab.precip.jja","stab.precip.jja.cent"
-72.25,42.75,"lat42.75lon-72.25","n",1.8971487258,0.7478143244,5350.34094842089,5.6534850132379e-09,2868.40286471407,2.38535025733565e-09,2014.59175253743,2.85348505983881e-09,1.05313725565335e-07,8.52754117183294e-20,3.60846668130521e-07,2.84825372581486e-19
-68.75,45.25,"lat45.25lon-68.75","n",2.1300171468,1.0666769529,4608.30416979706,9.74034575106794e-09,2887.14027150806,2.37290081672673e-09,2938.02515676568,4.26508867668994e-09,8.25635718158068e-08,8.89215355357898e-20,3.09646723720315e-07,1.7536044112716e-19
-89.75,46.25,"lat46.25lon-89.75","y",0.5000789197,1.0960596389,13251.6570819446,5.46513881775523e-08,4498.7597656918,4.60509141440834e-09,3458.79872737157,4.2232271846828e-09,4.65070782608066e-08,3.57186744842698e-20,3.0361035247203e-07,1.81971056040443e-19
-94.75,46.25,"lat46.25lon-94.75","y",0.1176584947,1.1390651446,6104.9290111786,3.70822995444121e-08,5708.46813838075,6.42176266299661e-09,4926.35340427211,6.35043530511616e-09,4.7051731192244e-08,2.29484872639625e-20,3.23442371323425e-07,2.84173906023176e-19
-95.25,47.25,"lat47.25lon-95.25","y",0.096142947,1.2547786483,1125.42587025697,4.01390317415299e-06,5699.480892708,7.14182894237017e-09,4735.57038936841,9.20907202328814e-09,3.87634238395208e-08,1.15113074575152e-20,2.90835450762347e-07,1.15424022678199e-19
-82.75,43.75,"lat43.75lon-82.75","n",1.0401096978,0.7976645619,10044.1096608258,2.95899130468543e-08,4449.50131359867,1.77970050663807e-09,2576.5808600512,1.83889797990355e-09,4.96882576349527e-08,1.49584351324364e-20,2.30930267503245e-07,1.5376367375465e-19
-97.25,37.75,"lat37.75lon-97.25","n",-0.2358461445,0.2404502605,1609.23135615268,5.06529177634015e-08,3908.98417021076,8.00280015768252e-10,7628.57561382062,5.50183689014733e-09,7.18539203378703e-08,5.22945990678746e-20,3.30352389576614e-07,3.31232719285425e-19
-87.25,37.75,"lat37.75lon-87.25","n",0.6451687157,0.1413747742,5216.28088216535,2.50276833339178e-08,2682.54092645288,9.81746738024477e-10,2908.49407701895,2.68221961763371e-09,1.42156807680936e-07,1.10413005610805e-19,3.44395411631649e-07,1.27439813103298e-19
-77.25,37.75,"lat37.75lon-77.25","n",1.5316684734,0.1523890944,5453.70893759985,2.39072901466157e-08,2273.00415288901,3.51112113295993e-09,1573.58039067773,4.45339587460162e-09,1.11957034050454e-07,7.84295682243762e-20,2.76638958351964e-07,2.82234115799651e-19
-97.25,47.75,"lat47.75lon-97.25","y",-0.0434197753,1.3339449385,2260.44258704433,1.29637889925205e-08,6876.41472794957,7.69344811653927e-09,5631.2269226353,1.00454633982009e-08,2.77389769603009e-08,2.61743359353924e-20,2.07862558658351e-07,1.56974547533684e-19
-77.25,47.75,"lat47.75lon-77.25","n",1.4488854875,1.2595952611,3867.76250600815,1.59853362068704e-09,4020.48236919693,2.39920508199541e-09,3974.53510237538,2.70065419574622e-09,4.82819954948255e-08,7.93018063637559e-21,2.79583197208294e-07,1.87765079817324e-19
-67.25,47.75,"lat47.75lon-67.25","n",2.1904147919,1.361699226,4664.52049550923,8.94939055927578e-09,2976.47631881643,2.82916171653103e-09,3753.25172418448,5.4847196216995e-09,6.9551957120997e-08,7.10890071359161e-20,2.83858166778729e-07,1.54707714295225e-19
-92.25,42.75,"lat42.75lon-92.25","n",0.2650078398,0.7275357827,9444.22391999588,7.80818119142076e-07,5201.95078367171,3.58704418263477e-09,5275.54081098773,7.48719347673871e-09,6.95359023641805e-08,1.12582686056715e-19,4.19590568906539e-07,5.33581110380385e-19
-82.25,42.75,"lat42.75lon-82.25","n",1.0817098082,0.6868460328,5133.66056398279,2.22848783197702e-08,3728.50661134555,1.0478864336713e-09,2786.13495750402,1.75321941511688e-09,5.59259216922107e-08,3.12876297616181e-20,2.13572032835499e-07,7.20385772188826e-20
