"Var1","Var2","value","Class.Var1","Class.Var2"
"sand.s","sand.t",0.945890292007561,"soil","soil"
"clay.t","sand.t",-0.741362191423727,"soil","soil"
"clay.s","sand.t",-0.707570602821012,"soil","soil"
"depth","sand.t",-0.398838279058148,"soil","soil"
"awc.t","sand.t",-0.538002377929266,"soil","soil"
"awc.s","sand.t",0.0371565728836477,"soil","soil"
"whc.t","sand.t",-0.538095966096827,"soil","soil"
"whc.s","sand.t",0.0371565728836472,"soil","soil"
"whc.tot","sand.t",0.0371565728836468,"soil","soil"
"tair.yr.set","sand.t",-0.519847145424313,"temperature","soil"
"tair.yr.cru","sand.t",-0.514913561092829,"temperature","soil"
"tair.jja.set","sand.t",-0.560560762855684,"temperature","soil"
"tair.jja.cru","sand.t",-0.556382205348888,"temperature","soil"
"precip.yr.set","sand.t",0.0707317136310553,"precipitation","soil"
"precip.yr.cru","sand.t",0.0172074753088419,"precipitation","soil"
"precip.jja.set","sand.t",0.0827385412112816,"precipitation","soil"
"precip.jja.cru","sand.t",-0.0534640942847797,"precipitation","soil"
"clay.t","sand.s",-0.767769658369397,"soil","soil"
"clay.s","sand.s",-0.804940666360415,"soil","soil"
"depth","sand.s",-0.455831088608339,"soil","soil"
"awc.t","sand.s",-0.58758868399934,"soil","soil"
"awc.s","sand.s",0.051456994136322,"soil","soil"
"whc.t","sand.s",-0.587865686301823,"soil","soil"
"whc.s","sand.s",0.0514569941363213,"soil","soil"
"whc.tot","sand.s",0.0514569941363209,"soil","soil"
"tair.yr.set","sand.s",-0.609643410843128,"temperature","soil"
"tair.yr.cru","sand.s",-0.604624978484636,"temperature","soil"
"tair.jja.set","sand.s",-0.645601698551784,"temperature","soil"
"tair.jja.cru","sand.s",-0.642933197558096,"temperature","soil"
"precip.yr.set","sand.s",0.0345935670612825,"precipitation","soil"
"precip.yr.cru","sand.s",-0.0154940477855395,"precipitation","soil"
"precip.jja.set","sand.s",0.0712496334927495,"precipitation","soil"
"precip.jja.cru","sand.s",-0.108984185205666,"precipitation","soil"
"clay.s","clay.t",0.89212798776816,"soil","soil"
"depth","clay.t",0.211337529065687,"soil","soil"
