"lon","lat","latlon","umw","x","y","sand.t","sand.s","clay.t","clay.s","depth","tair.yr.set","tair.jja.set","precip.yr.set","precip.jja.set","tair.yr.cru","tair.jja.cru","precip.yr.cru","precip.jja.cru","awc.t","awc.s","whc.t","whc.s","whc.tot","domain.paleon"
-99.75,35.25,"lat35.25lon-99.75","n",-0.5096700816,0.0132053799,24.9706420898438,29.589864730835,18.8823204040527,25.4392528533936,154.597061157227,288.052615259867,299.956561567872,1.67673734645443e-05,2.19924042832285e-05,288.591645447146,299.858359271907,1.83967975385747e-05,2.59971105066849e-05,2.45524933825932,3.17484817576925,73.6574801477795,395.57675232123,469.23423246901,NA
-99.75,35.75,"lat35.75lon-99.75",NA,NA,NA,59.822925567627,57.0274505615234,15.7918424606323,15.7295207977295,174.987869262695,287.679159918751,299.735441466193,1.60920811855707e-05,2.27619010424471e-05,287.95643614953,299.373098530376,1.70195679342174e-05,2.63874422054016e-05,2.99465381670373,2.98189643088924,89.8396145011118,432.338809876667,522.178424377779,NA
-99.75,36.25,"lat36.25lon-99.75",NA,NA,NA,73.792610168457,68.9699859619141,12.7368030548096,15.1423692703247,179.623031616211,287.816427205499,300.271375781622,1.67112748573505e-05,2.36307377903965e-05,287.947730398677,299.96925143717,1.65849876507242e-05,2.65377433133004e-05,2.08454287278654,2.7919135611138,62.5362861835962,417.734571024258,480.270857207854,NA
-99.75,36.75,"lat36.75lon-99.75","n",-0.4760938985,0.174453987,46.4762763977051,47.07470703125,19.6654758453369,19.7934989929199,159.612731933594,286.910142716616,299.721723453276,1.44516015922968e-05,2.19531700527364e-05,287.146912813028,299.534681637307,1.58587444727562e-05,2.80699083642744e-05,3.46004030447916,3.49246425680012,103.801209134375,452.667833504292,556.469042638666,NA
-99.75,37.25,"lat37.25lon-99.75",NA,NA,NA,34.2762718200684,30.9661026000977,22.1033897399902,25.5169486999512,160.218643188477,285.756895296209,298.760510479319,1.4258504419021e-05,2.34891302670335e-05,285.998297518683,298.042406362992,1.50062666482861e-05,2.61949742309159e-05,3.22160474118027,3.27043227198298,96.648142235408,425.87125309743,522.519395332838,NA
-99.75,37.75,"lat37.75lon-99.75","n",-0.4536420409,0.2822783562,21,12,24,35,152,285.12126523915,298.297375604955,1.33457420957275e-05,2.28829617617217e-05,285.327070397082,297.61282037122,1.40367029183507e-05,2.4863932366438e-05,2.46780075687233,2.08222409392166,74.0340227061698,254.031339458442,328.065362164612,NA
-99.75,38.25,"lat38.25lon-99.75","n",-0.442397487,0.3362799873,21,12,24,35,152,284.492206543609,297.67955750153,1.41988787597519e-05,2.40782249796985e-05,284.791201193371,297.348220645171,1.5751393909348e-05,2.86003476794122e-05,2.46780075687233,2.08222409392166,74.0340227061698,254.031339458442,328.065362164612,NA
-99.75,38.75,"lat38.75lon-99.75",NA,NA,NA,22.4860973358154,14.3288135528564,23.9720439910889,33.5803489685059,158.364120483398,284.119810086255,297.326473797257,1.51563940162438e-05,2.58365713176782e-05,284.45588279183,297.152197265625,1.5651964710403e-05,2.91276552039969e-05,2.58242545121539,2.26845619676018,77.4727635364616,291.188384552236,368.661148088698,NA
-99.75,39.25,"lat39.25lon-99.75",NA,NA,NA,8.93699645996094,7,22.6456661224365,24.0630035400391,134.283264160156,283.688483043268,297.021084424219,1.54443624673897e-05,2.62615292294064e-05,283.871025199715,296.457406932325,1.5335037239996e-05,2.78907117440425e-05,1.31594642296071,1.16179722545416,39.4783926888214,121.156006962573,160.634399651394,NA
-99.75,39.75,"lat39.75lon-99.75","n",-0.4085964467,0.4986084643,10,7,23,23,152,283.597923139478,296.818038143496,1.66164268987823e-05,2.93121096123811e-05,284.17506477854,296.756274385805,1.6292126027238e-05,2.78655977117687e-05,1.43732143713524,1.12455474896521,43.1196431140571,137.195679373755,180.315322487813,NA
-99.75,40.25,"lat40.25lon-99.75","n",-0.3973090311,0.5528159377,11,7.47840118408203,21.521598815918,27.282398223877,152,282.502388458388,295.713576328375,1.6796381810688e-05,3.08393855813811e-05,283.075532398732,295.63512175666,1.83190758141143e-05,3.31375343747693e-05,1.48033892355065,1.32625114789884,44.4101677065195,161.802640043659,206.212807750178,NA
-99.75,40.75,"lat40.75lon-99.75",NA,NA,NA,11,8.1694917678833,20.830509185791,26.2457618713379,152,281.137578582202,294.380268281426,1.62940731089991e-05,3.06062129438222e-05,281.736634908892,294.345413242645,1.79313983756146e-05,3.29969681224572e-05,1.4535165796272,1.3644010216394,43.605497388816,166.456924640007,210.062422028823,NA
-99.75,41.25,"lat41.25lon-99.75","n",-0.3747074516,0.6613593416,13.2736082077026,13.4485015869141,19.9506416320801,19.6008567810059,152,280.655888257622,294.141152890027,1.6546474301184e-05,3.03884672649711e-05,281.173353708954,294.201903606128,1.93540321789046e-05,3.49437673028275e-05,1.62965484189168,1.63037638052931,48.8896452567504,198.905918424575,247.795563681326,NA
-99.75,41.75,"lat41.75lon-99.75",NA,NA,NA,66.9033508300781,66.9033508300781,9.6862268447876,9.6862268447876,152,280.47376251078,294.074163115258,1.63215280497167e-05,2.84500086952913e-05,280.825446139342,294.196232806699,2.03521483138666e-05,3.61566141977095e-05,1.34425298532837,1.34425298532837,40.3275895598512,163.998864210061,204.326453769913,NA
-99.75,42.25,"lat42.25lon-99.75",NA,NA,NA,95,95,4,4,152,280.684856179037,294.569412534712,1.52985525058845e-05,2.65744590852185e-05,281.106328023409,294.453906622628,1.64938292423127e-05,2.74283008484643e-05,0.000963273258418599,0.000963273258418599,0.028898197752558,0.117519337527069,0.146417535279627,NA
-99.75,42.75,"lat42.75lon-99.75","n",-0.3407483781,0.8244467682,95,95,4,4,152,280.611351922592,294.696307396693,1.44246523866312e-05,2.47873068789692e-05,280.848781654208,294.409963763749,1.57828486072071e-05,2.87441514870114e-05,0.000963273258418599,0.000963273258418599,0.028898197752558,0.117519337527069,0.146417535279627,NA
-99.75,43.25,"lat43.25lon-99.75",NA,NA,NA,28.4656238555908,24.6069946289062,32.1743469238281,39.1321334838867,152,280.86344770557,295.198728419017,1.36832240118721e-05,2.33477328730416e-05,281.033713824895,294.946360498608,1.39952348159699e-05,2.46565790078216e-05,3.46765838713004,3.46465396887005,104.029751613901,422.687784202146,526.717535816048,NA
-99.75,43.75,"lat43.75lon-99.75",NA,NA,NA,15.1949663162231,10.1860342025757,49.1622581481934,52.955810546875,152,280.560395739106,295.027996586229,1.33386827738522e-05,2.41593925815997e-05,280.697771539721,294.75264698179,1.30874887185078e-05,2.30835319656855e-05,2.92791781930787,2.51541934364161,87.837534579236,306.881159924277,394.718694503513,NA
-99.75,44.25,"lat44.25lon-99.75","n",-0.3067384518,0.9877784142,15.7852182388306,17.6819496154785,44.8802719116211,46.9687538146973,144.134170532227,279.781302779561,294.394105778844,1.33040548745436e-05,2.44847115672433e-05,279.867964972986,294.060207854969,1.35070546312468e-05,2.38528421504039e-05,2.83491422753299,3.10678610646338,85.0474268259898,354.590455282243,439.637882108233,NA
-99.75,44.75,"lat44.75lon-99.75",NA,NA,NA,23.3966598510742,23.3966598510742,27.7567844390869,28.2432155609131,152,278.95282591419,293.531994097599,1.31385388166574e-05,2.4311792194268e-05,279.095204078153,293.404505626173,1.32207451471987e-05,2.4414621534809e-05,2.84489052506932,2.86859233844052,85.3467157520797,349.968265289743,435.314981041823,NA
-99.75,45.25,"lat45.25lon-99.75","n",-0.2840470913,1.0967529888,25.1534442901611,23.3966598510742,25.4144058227539,28.8288097381592,152,278.254659106619,292.946366966345,1.26489956553804e-05,2.3325713594753e-05,278.48360258011,292.920810151641,1.28605957154626e-05,2.4572578014431e-05,2.86036339209473,2.8968302793536,85.8109017628419,353.413294081139,439.224195843981,NA
