,num,lon,lat,latlon,notes,location,spininital,spinfinish,runs,x,y,umw
1,1,-72.25,42.75,lat42.75lon-72.25,site,geo,16-Jan-16,18-Jan-16,26-Jan-16,1.8971487258,0.7478143244,n
2,2,-68.75,45.25,lat45.25lon-68.75,site,geo,16-Jan-16,18-Jan-16,27-Jan-16,2.1300171468,1.0666769529,n
3,3,-89.75,46.25,lat46.25lon-89.75,site,geo,16-Jan-16,18-Jan-16,25-Jan-16,0.5000789197,1.0960596389,y
4,4,-94.75,46.25,lat46.25lon-94.75,site,geo,16-Jan-16,18-Jan-16,26-Jan-16,0.1176584947,1.1390651446,y
5,5,-95.25,47.25,lat47.25lon-95.25,site,geo,16-Apr-16,23-Apr-16,2-May-16,0.096142947,1.2547786483,y
6,6,-82.75,43.75,lat43.75lon-82.75,site,geo,16-Apr-16,16-Apr-16,24-Apr-16,1.0401096978,0.7976645619,n
7,7,-97.25,37.75,lat37.75lon-97.25,10-degree,geo,15-Apr-16,21-Apr-16,27-Apr-16,-0.2358461445,0.2404502605,n
8,8,-87.25,37.75,lat37.75lon-87.25,10-degree,geo,15-Apr-16,20-Apr-16,25-Apr-16,0.6451687157,0.1413747742,n
9,9,-77.25,37.75,lat37.75lon-77.25,10-degree,geo,17-Apr-16,22-Apr-16,27-Apr-16,1.5316684734,0.1523890944,n
10,10,-97.25,47.75,lat47.75lon-97.25,10-degree,geo,17-Apr-16,23-Apr-16,2-May-16,-0.0434197753,1.3339449385,y
11,11,-77.25,47.75,lat47.75lon-77.25,10-degree,geo,18-Apr-16,24-Apr-16,4-May-16,1.4488854875,1.2595952611,n
12,12,-67.25,47.75,lat47.75lon-67.25,10-degree,geo,17-Apr-16,23-Apr-16,1-May-16,2.1904147919,1.361699226,n
13,13,-92.25,42.75,lat42.75lon-92.25,5-degree,geo,17-Apr-16,22-Apr-16,28-Apr-16,0.2650078398,0.7275357827,n
14,14,-82.25,42.75,lat42.75lon-82.25,5-degree,geo,17-Apr-16,21-Apr-16,28-Apr-16,1.0817098082,0.6868460328,n
15,15,-92.25,37.75,lat37.75lon-92.25,5-degree,geo,24-Feb-16,3-Mar-16,9-Mar-16,0.2031200475,0.1772072742,n
16,16,-82.25,37.75,lat37.75lon-82.25,5-degree,geo,24-Feb-16,3-Mar-16,17-Apr-16,1.0885899355,0.133091367,n
17,17,-97.25,42.75,lat42.75lon-97.25,5-degree,geo,24-Feb-16,2-Mar-16,22-Apr-16,-0.1398670837,0.7858671524,n
18,18,-77.25,42.75,lat42.75lon-77.25,5-degree,geo,31-Jan-16,4-Feb-16,18-Apr-16,1.4903777019,0.704645048,n
19,19,-92.25,47.75,lat47.75lon-92.25,5-degree,geo,31-Jan-16,4-Feb-16,2-May-16,0.3271975605,1.2805491474,y
20,20,-82.25,47.75,lat47.75lon-82.25,5-degree,geo,31-Jan-16,2-Feb-16,30-Apr-16,1.0747961152,1.2433022699,n
21,21,-72.25,47.75,lat47.75lon-72.25,5-degree,geo,31-Jan-16,4-Feb-16,24-Apr-16,1.8212384894,1.2991118656,n
22,22,-99.75,35.25,lat35.25lon-99.75,2.5-degree,geo,31-Jan-16,6-Feb-16,18-Apr-16,-0.5096700816,0.0132053799,n
23,23,-94.75,35.25,lat35.25lon-94.75,2.5-degree,geo,31-Jan-16,2-Feb-16,23-Feb-16,-0.0560476966,-0.0666202565,n
24,24,-89.75,35.25,lat35.25lon-89.75,2.5-degree,geo,3-Feb-16,1-Mar-16,18-Apr-16,0.4016596724,-0.1180922376,n
25,25,-84.75,35.25,lat35.25lon-84.75,2.5-degree,geo,3-Feb-16,1-Mar-16,18-Apr-16,0.8616815302,-0.1410114604,n
26,26,-79.75,35.25,lat35.25lon-79.75,2.5-degree,geo,3-Feb-16,1-Mar-16,21-Apr-16,1.322238429,-0.1352892691,n
27,27,-99.75,40.25,lat40.25lon-99.75,2.5-degree,geo,12-Mar-16,17-Mar-16,16-Apr-16,-0.3973090311,0.5528159377,n
28,28,-94.75,40.25,lat40.25lon-94.75,2.5-degree,geo,13-Mar-16,17-Mar-16,23-Mar-16,0.0225513497,0.4789315282,n
29,29,-89.75,40.25,lat40.25lon-89.75,2.5-degree,geo,16-Mar-16,17-Mar-16,23-Mar-16,0.4461926791,0.4312904807,n
30,30,-84.75,40.25,lat40.25lon-84.75,2.5-degree,geo,16-Mar-16,17-Mar-16,23-Mar-16,0.8719762355,0.4100770796,n
31,31,-79.75,40.25,lat40.25lon-79.75,2.5-degree,geo,16-Mar-16,17-Mar-16,23-Mar-16,1.2982550111,0.4153733822,n
32,32,-74.75,40.25,lat40.25lon-74.75,2.5-degree,geo,16-Mar-16,17-Mar-16,24-Mar-16,1.7233800823,0.4471589013,n
33,33,-99.75,45.25,lat45.25lon-99.75,2.5-degree,geo,13-Mar-16,17-Mar-16,23-Mar-16,-0.2840470913,1.0967529888,n
34,34,-94.75,45.25,lat45.25lon-94.75,2.5-degree,geo,13-Mar-16,17-Mar-16,29-Mar-16,0.101780588,1.0288574417,y
35,35,-89.75,45.25,lat45.25lon-89.75,2.5-degree,geo,26-Mar-16,5-Apr-16,12-Apr-16,0.4910827428,0.9850780435,y
36,36,-84.75,45.25,lat45.25lon-84.75,2.5-degree,geo,ERROR,,,0.8823534818,0.9655841411,y
37,37,-79.75,45.25,lat45.25lon-79.75,2.5-degree,geo,26-Mar-16,5-Apr-16,13-Apr-16,1.2740792988,0.9704511402,n
38,38,-74.75,45.25,lat45.25lon-74.75,2.5-degree,geo,26-Mar-16,5-Apr-16,12-Apr-16,1.6647449275,0.9996602146,n
39,39,-69.75,45.25,lat45.25lon-69.75,2.5-degree,geo,26-Mar-16,5-Apr-16,19-Apr-16,2.0528392022,1.0530983781,n
40,40,-64.75,45.25,lat45.25lon-64.75,2.5-degree,geo,26-Mar-16,5-Apr-16,12-Apr-16,2.4368609041,1.1305589224,n
